FIRSTNAME | LASTNAME | TITLE | YEAR | TYPE | POSITION | GENDER
Hassan | Allawati | Three Kings  | 1999 | M | 46 | M
Jean | Allaz | Betrogene, Der  | 1993 | TV | 5 | M
Jean | Allaz | Passez une bonne nuit  | 1990 | TV |  | M
Jean | Allaz | Présumé dangereux  | 1990 | M | 19 | M
Jean | Allaz | Under the Cherry Moon  | 1986 | M | 20 | M
Jean | Allaz | "Year in Provence, A"  | 1993 | mini |  | M
James | Allbaugh | Path Forbidden, The  | 1914 | M | 8 | M
David (I) | Allcock | Virgin of Liverpool, The  | 2003 | M |  | M
David (II) | Allcock | Jack of Diamonds  | 2001 | M | 17 | M
Peter | Allcorn | Kind of Hush, A  | 1999 | M |  | M
Jim | Allday | Trespasses  | 1986 | M | 35 | M
Alanniss | Allddero | Innocent Man, An  | 1989 | M | 27 | M
Justin | Allder | Late Twentieth, The  | 2002 | M |  | M
Justin | Allder | Redeye  | 2001/II | M |  | M
Justin | Allder | Sabotage  | 1996 | M | 24 | M
Justin | Allder | "Being April"  | 2002 | M | 9 | M
Luke | Allder | Large  | 2001 | M | 19 | M
Luke | Allder | "All About Me"  | 2002 | voice | 10 | M
Luke | Allder | "Polterguests"  | 1998 | M | 6 | M
Nick | Allder | 'Hellboy': The Seeds of Creation  | 2004 | V |  | M
Nick | Allder | Alien Legacy, The  | 1999 | V |  | M
Greg | Alldredge | Djöflaeyjan  | 1996 | M | 33 | M
Greg | Alldredge | Serial Intentions  | 2001 | M | 6 | M
Greg | Alldredge | Shadow Glories  | 2001 | M | 23 | M
Michael | Alldredge | About Last Night...  | 1986 | M | 6 | M
Michael | Alldredge | Almost an Angel  | 1990 | M | 8 | M
Michael | Alldredge | Another Woman's Child  | 1983 | TV | 11 | M
Michael | Alldredge | Bastard, The  | 1978 | TV | 45 | M
Michael | Alldredge | Bon Voyage  | 1985 | TV |  | M
Michael | Alldredge | Columbo: Rest in Peace, Mrs. Columbo  | 1990 | TV | 7 | M
Michael | Alldredge | Entity, The  | 1981 | M | 8 | M
Michael | Alldredge | Ghost Town  | 1988 | M | 9 | M
Michael | Alldredge | Gift of Life, The  | 1982 | TV | 7 | M
Michael | Alldredge | Hostage Flight  | 1985 | TV | 14 | M
Michael | Alldredge | I Want to Live  | 1983 | TV | 5 | M
Michael | Alldredge | Incredible Melting Man, The  | 1977 | M | 4 | M
Michael | Alldredge | Iron Eagle  | 1986 | M | 13 | M
Michael | Alldredge | Johnny Be Good  | 1988 | M | 10 | M
Michael | Alldredge | Just Me and You  | 1978 | TV | 3 | M
Michael | Alldredge | Last Fling, The  | 1987 | TV | 15 | M
Michael | Alldredge | Long Journey Back  | 1978 | TV | 10 | M
Michael | Alldredge | Mary & Tim  | 1996 | TV | 11 | M
Michael | Alldredge | My Brother's Keeper  | 1995 | TV |  | M
Michael | Alldredge | Night Walk  | 1989 | TV | 4 | M
Michael | Alldredge | Nightside  | 1980 | TV | 16 | M
Michael | Alldredge | Operation Petticoat  | 1977 | TV |  | M
Michael | Alldredge | Promise  | 1986 | TV | 5 | M
Michael | Alldredge | Qian li dan qi zhui xiong  | 1978 | M |  | M
Michael | Alldredge | Robot Jox  | 1990 | M | 7 | M
Michael | Alldredge | Ruby  | 1977 | M |  | M
Michael | Alldredge | Scarface  | 1983 | M | 17 | M
Michael | Alldredge | Shoot the Moon  | 1982 | M | 13 | M
Michael | Alldredge | Sting II, The  | 1983 | M | 28 | M
Michael | Alldredge | Sunshine Christmas  | 1977 | TV | 11 | M
Michael | Alldredge | Taking of Beverly Hills, The  | 1991 | M | 18 | M
Michael | Alldredge | Thornwell  | 1981 | TV | 5 | M
Michael | Alldredge | Two-Five, The  | 1978 | TV | 16 | M
Michael | Alldredge | V  | 1983 | TV | 21 | M
Michael | Alldredge | "Alice"  | 1976 | M |  | M
Michael | Alldredge | "Almost Grown"  | 1988 | M | 4 | M
Michael | Alldredge | "Atlanta Child Murders, The"  | 1985 | mini | 19 | M
Colin | Alldridge | It Shouldn't Happen to a TV Actor  | 2003 | TV |  | M
Colin | Alldridge | "Bill, The"  | 1984 | M | 38 | M
Al | Alleborn | Patent Leather Kid, The  | 1927 | a | 16 | M
 | Allee | Nanook of the North  | 1922 | M |  | M
Tony | Alleff | Cook the Thief His Wife & Her Lover, The  | 1989 | M | 15 | M
Tony | Alleff | Funny Money  | 1982 | M | 25 | M
Tony | Alleff | Never Say Never Again  | 1983 | M | 32 | M
Tony | Alleff | Past Caring  | 1985 | TV | 22 | M
Tony | Alleff | Slipstream  | 1989 | M | 7 | M
Tony | Alleff | Tragedy of Flight 103: The Inside Story, The  | 1990 | TV | 19 | M
Tony | Alleff | "Watch All Night"  | 1980 | M |  | M
 | Allegoo | Nanook of the North  | 1922 | M |  | M
Tommy | Allegood | Wolves of Wall Street  | 2002 | M | 20 | M
Giovanni | Allegra | Ciao, les mecs  | 1979 | M | 20 | M
Carlos A. | Allegret | Intimidades de una cualquiera  | 1974 | M | 16 | M
Corrado | Allegretta | Mail Order Bride  | 2003 | M | 48 | M
Cosmo | Allegretti | Author! Author!  | 1982 | M | 17 | M
Cosmo | Allegretti | Good Evening, Captain  | 1981 | TV |  | M
Cosmo | Allegretti | Prince of the City  | 1981 | M | 23 | M
Cosmo | Allegretti | Sorcerer  | 1977 | a | 23 | M
Cosmo | Allegretti | "Captain Kangaroo"  | 1955 | M | 4 | M
Alberto | Allegrezza | Kid il monello del west  | 1973 | M |  | M
Alberto | Allegri | Corbari  | 1970 | M | 16 | M
Eugenio | Allegri | Amor nello specchio  | 1999 | M | 6 | M
Alfred | Allegro | Fighting Guardsman, The  | 1946 | M |  | M
Alfred | Allegro | Gentleman Misbehaves, The  | 1946 | M |  | M
Alfred | Allegro | Notorious Lone Wolf, The  | 1946 | M |  | M
Alfred | Allegro | Song to Remember, A  | 1945 | M |  | M
Alfred | Allegro | Thousand and One Nights, A  | 1945 | M |  | M
Alfred | Allegro | Walls Came Tumbling Down, The  | 1946 | M | 26 | M
Joe (I) | Allegro | Hot Shots!  | 1991 | M | 62 | M
Scott | Allegrucci | All That Glitters  | 1990 | TV |  | M
Scott | Allegrucci | Feud, The  | 1989 | M | 1 | M
Scott | Allegrucci | Taking a Stand  | 1989 | TV |  | M
André | Allehaut | Laurette ou le cachet rouge  | 1931 | M |  | M
Eli | Allem | Muhammad: The Last Prophet  | 2004 | voice |  | M
Bart | Alleman | Eurosong 2002  | 2002 | TV | 4 | M
Richard (II) | Alleman | Go Ask Alice  | 1973 | TV | 23 | M
Richard (II) | Alleman | Warriors, The  | 1979 | M |  | M
W.A. | Alleman | Fighting Stranger, The  | 1921 | M | 3 | M
